🗣️🌍	Part of Speech	English									简体中文									繁體中文									हिंदी									Русский									Português									Deutsch								
🤜	noun	jupa	Mandarin 右邊 yòubiān 'right side'	right		the right side, the right direction					jupa	Mandarin 右邊 yòubiān 'right side'	右边		右边、右边的方向					jupa	Mandarin 右邊 yòubiān 'right side'	右邊		右邊、右邊的方向					यूपा	चीनी 右邊 योउब्यान 'दाएं'	दाएं		दाईं तरफ/दिशा					юпа	Китайский 右邊 yòubiān 'правая сторона'	направо		правая сторона, направление вправо					jupa	Mandarim 右邊 yòubiān 'lado direito'	direita		o lado direito, a direção direita					jupa	Mandarin 右邊 yòubiān 'rechte Seite'	rechts		rechte Seite, rechte Richtung				
🌳	noun	kaje	Vietnamese cây 'tree'	tree		tree, wood					kaje	Vietnamese cây 'tree'	树		树、木					kaje	Vietnamese cây 'tree'	樹		樹、木					काये	वियतनामी cây काय 'पेड़'	पेड़		पेड़, लकड़ी					кае	Вьетнамский cây 'дерево'	дерево		дерево, древесина					kaje	Vietnamita cây 'árvore'	árvore		árvore, madeira					kaje	Vietnamesisch cây 'Baum'	Baum		Baum, Holz				
👏	verb	kake	Teo Chew 結果 gag4 guê2 'result'	result	result in	result, impact, effect, consequence					kake	Teo Chew 結果 gag4 guê2 'result'	导致	导致	结果、影响、效果、后果					kake	Teo Chew 結果 gag4 guê2 'result'	導致	導致	結果、影響、效果、後果					काके	त्यो च्यू 結果 गाग गुए 'नतीजा, अंजाम'	नतीजा	का नतीजा होना	नतीजा, परिणाम, प्रभाव, प्रतिफल, अंजाम					какэ	Китайский (Teochew) 結果 gag4 guê2 'результат'	итог	подводить итог, резюмировать	результат, воздействие, эффект, последствия					kake	Teo Chew 結果 gag4 guê2 'resultado'	resultar	resultar em	resultado, impacto, efeito, consequência					kake	Teo Chew 結果 gag4 guê2 'Ergebnis'	Ergebnis	resultieren, erfolgen	Ergebnis, Auswirkung, Wirkung, Konsequenz				
🐟	noun	kala	Finnish kala ‘fish’	fish		fish, marine animal, sea creature					kala	Finnish kala ‘fish’	鱼		鱼、海洋动物、海洋生物					kala	Finnish kala ‘fish’	魚		魚、海洋動物、海洋生物					काला	फ़िन्निश kala काला ‘मछली’	मछली		मछली, पानी वाला जानवर					кала	Финский kala ‘рыба’	рыба		рыба, морское существо, живущий в воде					kala	Finlandês kala ‘peixe’	peixe		peixe, animal marinho, criatura marítima					kala	Finnisch kala ‘Fisch’	Fisch		Fisch, Meerestier, Meeresbewohner				
🔈	verb	kalama	Serbo-Croatian галама galama ‘fuss, noise’	sound	to produce a sound, to ring, to play (an instrument)	(produced) sound					kalama	Serbo-Croatian галама galama ‘fuss, noise’	发声	发出（声音）	（产生的）声音					kalama	Serbo-Croatian галама galama ‘fuss, noise’	發聲	發出（聲音）	（產生的）聲音					कालामा	सर्ब-क्रोएशियन галама गालामा ‘झंझट, आवाज़’	आवाज़	आवाज़ करना	(करी/बनायी हुई) आवाज़					калама	Сербо-хорватский галама galama ‘суета, шум’	звук	издавать звук, декламировать, произносить вслух, звонить, играть (инструмент)	звук					kalama	Servo-croata галама galama ‘barulho’	soar	produzir som, tocar (um instrumento ou sino)	som (produzido)					kalama	Serbokroatisch галама galama ‘Geräusch’	Ton	einen Ton erzeugen, ein Instrument spielen, ertönen, erklingen	(erzeugter) Ton, Klang, Geräusch				
🏷️	noun	kalite	Haitian Creole kalite 'kind', from French qualité	type		kind, type, class, category, quality					kalite	Haitian Creole kalite 'kind', from French qualité	种类		种类、类型、等级、类别、质量					kalite	Haitian Creole kalite 'kind', from French qualité	種類		種類、類型、等級、類別、品質					कालीते	हाइतीयाई क्रियोल kalite कालीते 'तरह', जिसका मूल है फ्रेंच qualité क्वालिते	तरह		तरह, किस्म, प्रकार					калитэ	Гаитянский креольский kalite 'сорт', с французского qualité	тип		вид, тип, класс, категория, качество					kalite	Crioulo haitiano kalite 'tipo', do francês qualité	tipo		tipo, classe, categoria, qualidade					kalite	Haitianisch kalite 'Art', aus dem Französischen qualité	Art		Art, Typ, Klasse, Kategorie, Qualität				
🚶	verb	kama	Tok Pisin kamap ‘event, arrive, happen, become, bring about, summon’, from English come up	become	become, transform into	final state					kama	Tok Pisin kamap ‘event, arrive, happen, become, bring about, summon’, from English come up	变成	变成、变成	最终状态					kama	Tok Pisin kamap ‘event, arrive, happen, become, bring about, summon’, from English come up	變成	變成、變成	最終狀態					कामा	टोक पिसिन kamap ‘event, arrive, happen, become, bring about, summon’, from English come up	बनना	बनना, बदलाव करना	बनने का लक्ष्य					кама	Ток-писин kamap ‘событие, прибыть, случиться, стать, вызвать’, с английского come up	стать	становиться, превратиться в, прибывать	конечное состояние					kama	Tok Pisin kamap ‘evento, chegar, acontecer, tornar-se, trazer, invocar’, do inglês come up 'trazer'	tornar-se	tornar-se, transformar(-se) em	estado final					kama	Tok Pisin kamap ‘eankommen, geschehen, werden, herbeiführen’, aus dem Englischen come up	werden	werden, transformieren, verwandeln	Endzustand				
🔗	preposition	kan	Finnish kanssa ‘with’	with					with, among, in the company of		kan	Finnish kanssa ‘with’	与					与、同……一起、伴随着		kan	Finnish kanssa ‘with’	與					與、同……一起、伴隨著		कां	फ़िन्निश kanssa कान्न्सा ‘के साथ’	के साथ					के साथ, की संगत में		кан	Финский kanssa ‘с’	с					с, среди, в компании с		kan	Finlandês kanssa ‘com’	com					com, entre (um grupo), na companhia de		kan	Finnisch kanssa ‘mit’	mit					mit, in Begleitung von	
🍺	modifier	kanja	Hindi गांजा gāñjā 'ganja, marihuana, weed'	intoxicated			intoxicated, high				kanja	Hindi गांजा gāñjā 'ganja, marihuana, weed'	喝醉的			陶醉的、喝醉的、麻醉的				kanja	Hindi गांजा gāñjā 'ganja, marihuana, weed'	喝醉的			陶醉的、喝醉的、麻醉的				कांया	हिंदी गांजा	नशे में			नशे में, मदहोश, मस्त				канья	Хинди गांजा gāñjā 'гянджа, марихуана, травка'	пьяный			пьяный, одурманенный, под кайфом				kanja	Híndi गांजा gāñjā 'ganja, maconha, erva'	intoxicado			intoxicado, doidão				kanja	Hindi गांजा gāñjā 'Ganja, Marihuana, Gras'	berrauscht			berrauscht			
💃	modifier	kanpe	Punjabi ਕੰਬਣਾ kambṇā 'to tremble', ultimately from Sanskrit कम्प kampa 'trembling, shaking, earthquake'	shaking			shaking, wiggling, vibrating (non travelling motion)				kanpe	Punjabi ਕੰਬਣਾ kambṇā 'to tremble', ultimately from Sanskrit कम्प kampa 'trembling, shaking, earthquake'	晃动的			晃动的、摇动的、摆动的、振动的（非行进运动）				kanpe	Punjabi ਕੰਬਣਾ kambṇā 'to tremble', ultimately from Sanskrit कम्प kampa 'trembling, shaking, earthquake'	晃動的			晃動的、搖動的、擺動的、振動的（非行進運動）				कांपे	पंजाबी ਕੰਬਣਾ कंबणा 'कांपना', जिसका मूल है संस्कृत कम्प 'भुकंप'	कांपता			कांपता हुआ, हिलता हुआ (एक ही स्थान पर हिलना)				канпэ	Панджаби ਕੰਬਣਾ kambṇā 'дрожать', с санскрита कम्प kampa 'дрожь, тряска, землетрясение'	вибрация	качать, теребить, дрожать	дрожь, вибрация, покачивание, качка	раскачивающийся, вибрирующий				kanpe	Punjabi ਕੰਬਣਾ kambṇā 'tremer', derivado do sânscrito कम्प kampa 'tremedeira, sacudida, terremoto'	sacudindo			sacudindo, tremendo, vibrante (movimento que não envolve locomoção)				kanpe	Pandschabi ਕੰਬਣਾ kambṇā 'zitter', aus dem Sanskrit कम्प kampa 'Zittern, Beben, Erdbeben'	zitternd			schüttelnd, wackelnd, zitternd, vibrierend			
💻	noun	kanputa	English computer	computer		computer, technology, mobile phone					kanputa	English computer	计算机		计算机、电脑、电子设备、技术、手机					kanputa	English computer	電腦		電腦、電腦、電子設備、技術、手機					कांपूता	अंग्रेज़ी computer कंप्यूटर 'कंप्यूटर'	कंप्यूटर		फोन, कंप्यूटर					канпута	Английский computer 'компьютер'	компьютер		компьютер, смартфон, технология					kanputa	Inglês computer 'computador'	computador		computador, tecnologia, telefone celular, telemóvel					kanputa	Englisch computer 'Rechner, Computer'	Rechner		Rechner, Computer, Technologie, Mobiltelefon, Handy				
🎵	noun	kanti	Esperanto kanti 'sing'	music	sing, play (music)	song, music, poetry					kanti	Esperanto kanti 'sing'	音乐	唱、演奏（歌曲）	歌曲、音乐、诗歌					kanti	Esperanto kanti 'sing'	音樂	唱、演奏（歌曲）	歌曲、音樂、詩歌					कांती	एस्पेरांटो kanti कांती 'गाना'	संगीत	गाना, बजाना	गाना, संगीत					канти	Эсперанто kanti 'петь'	музыка	петь, играть	песня, музыка, поэзия					kanti	Esperanto kanti 'cantar'	música	cantar, tocar (música)	canção, música, poesia					kanti	Esperanto kanti 'singen'	Musik	sing, play (music)	song, music, poetry				
📜	noun	kanun	Arabic قَانُون qānūn 'norm, established principle, canon'; ultimately from Ancient Greek κᾰνών	law		laws, the Law, standard					kanun	Arabic قَانُون qānūn 'norm, established principle, canon'; ultimately from Ancient Greek κᾰνών	法律		法律、法规、规定、标准					kanun	Arabic قَانُون qānūn 'norm, established principle, canon'; ultimately from Ancient Greek κᾰνών	法律		法律、法規、規定、標準					कानूं	अरबी قَانُون क़ानून 'आदर्श, कानून'; जिसका मूल है प्राचीन ग्रीक κᾰνών	कानून		कानून, मानक					канун	Арабский قَانُون qānūn 'норма, установленный принцип, канон'; с Древне-греческого κᾰνών	закон	судить	закон, канон, правила, стандарт, суд					kanun	Árabe قَانُون qānūn 'norma, princípio estabelecido, cânone'; derivado do grego antigo κᾰνών	lei		leis, a Lei, padrão					kanun	Arabisch قَانُون qānūn 'Norm, Grundprinzip, Grundregel'; aus dem Altgriechischen κᾰνών	Recht		Recht, Gesetz, Standard				
